,M,Study programme,Funded places,Tuition PLK,Tuition NLK,Tuition NLN
1,B,Arhitektūra,40,€ 2 000,-,-
3,M,Arhitektūra,40,€ 3 000,-,-
5,C,Būvniecība,45,€ 1 500,€ 900,€ 1 150
7,B,Būvniecība,140,€ 1 500,€ 900,-
8,B,"Siltuma, gāzes un ūdens tehnoloģija",40,€ 1 500,€ 900,€ 1 150
9,B,Transportbūves,70,€ 1 500,€ 900,-
10,B,Ģeomātika,25,€ 1 500,€ 900,-
12,M,Inovatīva ceļu un tiltu inženierija,5,€ 2 000,-,-
13,M,Inovatīvie risinājumi ģeomātikā,5,€ 2 000,-,-
15,M,Būvniecība,65,€ 2 050,€ 1 150,-
16,M,"Siltuma, gāzes un ūdens tehnoloģija",43,€ 2 050,-,-
17,M,Transportbūves,35,€ 2 050,€ 1 150,-
18,M,Ģeomātika,15,€ 2 050,€ 1 150,-
20,C,Datorsistēmas,-,€ 1 200,-,-
22,B,Automātika un datortehnika,90,€ 1 350,-,-
23,B,Datorsistēmas,167,€ 1 200,-,-
24,B,Informācijas tehnoloģija,160,€ 1 200,-,-
25,B,Intelektuālas robotizētas sistēmas,17,€ 1 200,-,-
27,B,Finanšu inženierija,22,€ 1 200,-,-
28,B,Finanšu pārvaldības informācijas sistēmas (kopīga programma ar Banku augstskolu),-,€ 1 400,-,-
30,M,Automātika un datortehnika,12,€ 1 950,-,-
31,M,Biznesa informātika,-,€ 1 250,-,€ 1 000
32,M,Datorsistēmas,35,€ 1 750,-,-
33,M,Finanšu inženiermatemātika,15,€ 1 750,-,-
34,M,Informācijas tehnoloģija,32,€ 1 750,-,-
35,M,Intelektuālas robotizētas sistēmas,9,€ 1 750,-,-
36,M,Kiberdrošības inženierija,-,€ 1 750,-,-
37,M,Loģistikas sistēmu un piegādes ķēdes vadība,-,€ 1 750,-,-
39,M,Automātika un datortehnika,6,€ 1 950,-,-
40,M,Datorsistēmas,20,€ 1 750,-,€ 1 500
41,M,Informācijas tehnoloģija,32,€ 1 750,-,-
43,B,Elektronika un mobilie sakari,55,€ 1 350,€ 800,-
44,B,Telekomunikācijas,143,€ 1 350,-,-
46,B,Transporta elektronika un telemātika,35,€ 1 350,-,-
48,M,Elektronika,-,€ 1 950,-,-
49,M,Telekomunikācijas,60,€ 1 950,-,-
51,M,Transporta elektronika un telemātika,10,€ 1 950,-,-
52,M,Viedās elektroniskās sistēmas,25,€ 1 950,€ 1 000,-
54,C,Enerģētika un elektrotehnika,-,€ 1 350,-,-
56,B,Enerģētika un elektrotehnika,102,€ 1 350,€ 800,€ 800
57,B,Vides inženierija,35,€ 1 500,-,-
59,B,Adaptronika,31,€ 1 350,-,-
60,B,Elektrotehnoloģiju datorvadība,72,€ 1 350,€ 800,€ 800
62,M,Elektrotehnoloģiju datorvadība,-,€ 1 950,-,-
63,M,Enerģētika un elektrotehnika,25,€ 1 950,-,-
64,M,Vides inženierija,40,€ 2 200,-,-
66,M,Elektrotehnoloģiju datorvadība,40,€ 1 950,€ 1 000,-
68,C,Enerģētika un elektrotehnika,35,€ 1 950,-,-
70,B,Tehniskā tulkošana,3,€ 800,-,-
72,M,Digitālās humanitārās zinātnes,26,€ 1 425,-,-
73,M,E-studiju tehnoloģijas,10,€ 1 750,-,-
75,M,Tehniskā tulkošana,2,€ 1 200,-,-
77,C,Nekustamā īpašuma pārvaldība,2,€ 835,€ 550,-
78,C,Uzņēmējdarbība un vadīšana,11,€ 800,€ 550,€ 650
80,B,Ekonomika,13,€ 875,€ 600,-
81,B,Radošās industrijas (kopīga programma ar Latvijas Kultūras akadēmiju),10,€ 1 050,-,-
82,B,Uzņēmējdarbība un vadīšana,12,€ 875,€ 600,€ 675
84,B,Drošības inženierija,5,€ 1 200,-,-
85,B,Muitas un nodokļu administrēšana,36,€ 1 200,€ 600,-
86,B,Nekustamā īpašuma pārvaldība,11,€ 875,€ 600,-
87,B,Reģionālās attīstības un pilsētekonomikas inženierija,16,€ 1 100,-,-
88,B,Starptautisko ekonomisko sakaru organizēšana un vadīšana,9,€ 875,-,-
89,B,Uzņēmējdarbība un vadīšana,20,€ 875,€ 600,-
90,B,Uzņēmējdarbības loģistika,13,€ 875,€ 600,-
91,B,Visaptverošā kvalitātes vadība,25,€ 1 100,€ 600,-
93,M,Ekonomika,15,€ 1 050,-,-
94,M,Ražošanas inženierzinības un vadība,22,€ 1 200,-,-
95,M,Uzņēmējdarbība un vadīšana,15,€ 1 050,-,-
96,M,Uzņēmējdarbības finanses,-,€ 1 025,-,-
98,M,Būvuzņēmējdarbības un nekustamā īpašuma vadīšana,8,€ 1 050,€ 700,-
99,M,Darba aizsardzība,-,-,€ 875,-
100,M,Inovācijas un uzņēmējdarbība,-,€ 1 350,-,€ 1 350
101,M,Līderība un vadība,18,€ 1 050,€ 700,-
102,M,Muitas un nodokļu administrēšana,31,€ 1 225,€ 700,-
103,M,Pilsētu un reģionu inženierekonomika,20,€ 1 050,€ 700,-
104,M,Starptautisko ekonomisko sakaru organizēšana un vadīšana,14,€ 1 050,-,-
105,M,Visaptverošā kvalitātes vadība,8,€ 1 050,-,€ 820
107,C,Ugunsdrošība un civilā aizsardzība,20,€ 1 200,-,-
109,B,"Inženiertehnika, mehānika un mašīnbūve",43,€ 1 350,-,-
111,B,Automobiļu transports,58,€ 1 350,€ 800,-
112,B,Aviācijas transports,68,€ 1 350,-,-
113,B,Dzelzceļa elektrosistēmas,10,€ 1 350,€ 800,-
114,B,Dzelzceļa transports,35,€ 1 350,€ 800,-
115,B,Industriālais dizains,20,€ 1 350,-,-
116,B,Mašīnu un aparātu būvniecība,35,€ 1 350,€ 800,-
117,B,Medicīnas inženierija un fizika,40,€ 1 350,-,-
118,B,Mehatronika,54,€ 1 350,-,-
119,B,Siltumenerģētika un siltumtehnika,24,€ 1 350,€ 800,-
120,B,Transporta sistēmu inženierija,36,€ 1 350,-,-
122,M,"Inženiertehnika, mehānika un mašīnbūve",11,€ 1 950,-,-
123,M,Ražošanas tehnoloģija,12,€ 1 950,€ 1 200,-
125,M,Automobiļu transports,15,€ 1 950,-,-
126,M,Aviācijas transports,20,€ 1 950,-,-
127,M,Dzelzceļa elektrosistēmas,9,€ 1 950,€ 1 200,-
128,M,Dzelzceļa transports,12,€ 1 950,€ 1 200,-
129,M,Medicīnas inženierija un fizika,15,€ 1 950,-,-
130,M,Nanoinženierija,6,€ 1 950,-,-
131,M,Siltumenerģētika un siltumtehnika,10,€ 1 950,€ 1 200,-
132,M,Transporta sistēmu inženierija,22,€ 1 950,-,-
134,B,Materiālzinātnes,26,€ 1 300,-,-
135,B,Ķīmija,13,€ 1 450,-,-
136,B,Ķīmijas tehnoloģija,65,€ 1 300,-,-
138,B,Apģērbu un tekstila tehnoloģija,29,€ 1 400,-,-
139,B,Materiālu tehnoloģija un dizains,56,€ 1 400,-,-
141,M,Lietišķā ķīmija,5,€ 2 175,-,-
142,M,Materiālu nanotehnoloģijas,3,€ 1 950,-,-
143,M,Materiālzinātnes,7,€ 1 950,-,-
144,M,Ķīmijas tehnoloģija,15,€ 1 950,-,-
146,M,Dizaina inženierija,45,€ 2 050,-,-
148,B,Datorzinātne un organizāciju tehnoloģijas,-,€ 1 995,-,-
149,B,Vadīšana starptautiskos uzņēmumos,-,€ 2 095,-,-
151,M,Uzņēmumu un organizāciju vadīšana,-,€ 9 550,-,€ 1 910
