,M,Study programme,Funded places,Tuition PLK,Tuition NLK,Tuition NLN
51,B,Telekomunikāciju tehnoloģijas un datu pārraides inženierija,133,€ 2 800,-,-
53,B,Transporta elektronika un telemātika,35,€ 2 800,-,-
54,B,Viedās elektroniskās sistēmas,55,€ 2 800,-,-
56,M,Telekomunikācijas,60,€ 4 000,-,-
58,M,Transporta elektronika un telemātika,10,€ 4 000,-,-
59,M,Viedās elektroniskās sistēmas,25,€ 4 000,€ 2 000,-
61,PhD,Elektronika,3,€ 8 550,-,-
62,PhD,Telekomunikācijas,7,€ 8 550,-,-
64,B,Vides inženierija,25,€ 3 100,-,-
66,B,Adaptronika,43,€ 2 800,€ 1 650,-
67,B,Elektrotehnoloģiju datorvadība,55,€ 2 800,€ 1 650,-
68,B,Viedā elektroenerģētika,106,€ 2 800,€ 1 650,-
70,M,Vides inženierija,40,€ 4 500,-,-
72,M,Adaptronika,10,€ 4 000,-,-
73,M,Elektrotehnoloģiju datorvadība,25,€ 4 000,€ 2 000,-
74,M,Viedā elektroenerģētika,50,€ 4 000,-,-
76,PhD,Elektrotehnoloģiju datorvadība,8,€ 8 550,-,-
77,PhD,Enerģētika un elektrotehnika,8,€ 8 550,-,-
78,PhD,Vides inženierija,13,€ 9 350,-,-
79,PhD,Viedā elektroenerģētika,-,€ 8 550,-,-
81,B,Tehniskā tulkošana,6,€ 1 680,-,-
83,M,Digitālās humanitārās zinātnes,29,€ 3 050,-,-
85,M,Tehniskā tulkošana,2,€ 2 520,-,-
87,PhD,E-studiju tehnoloģijas un pārvaldība,1,€ 7 700,-,-
89,C,Loģistika,-,€ 1 800,€ 1 200,€ 1 200
90,C,Nekustamā īpašuma pārvaldība,2,€ 1 720,€ 1 100,-
91,C,Uzņēmējdarbība un vadīšana,12,€ 1 650,€ 1 100,€ 1 300
93,B,Ekonomika,15,€ 1 800,€ 1 200,-
94,B,Radošās industrijas (kopīga programma ar Latvijas Kultūras akadēmiju),12,€ 2 250,-,-
95,B,Uzņēmējdarbība un vadīšana,14,€ 1 800,€ 1 200,€ 1 350
97,B,Drošības inženierija,20,€ 2 600,-,-
98,B,Muitas un nodokļu administrēšana,20,€ 2 600,€ 1 200,-
99,B,Nekustamā īpašuma pārvaldība,9,€ 1 800,€ 1 200,-
100,B,Nekustamā īpašuma pārvaldība,-,€ 1 800,€ 1 200,-
101,B,Reģionālās attīstības un pilsētekonomikas inženierija,15,€ 2 300,-,-
102,B,Starptautisko ekonomisko sakaru vadīšana,5,€ 1 800,-,-
103,B,Uzņēmējdarbība un vadīšana,28,€ 1 800,€ 1 200,-
104,B,Uzņēmējdarbība un vadīšana,-,€ 1 800,€ 1 200,-
105,B,Uzņēmējdarbības loģistika,5,€ 1 800,€ 1 200,-
106,B,Visaptverošā kvalitātes vadība,20,€ 2 300,€ 1 840,-
108,M,Ekonomika,13,€ 2 200,-,-
109,M,Radošās industrijas un izaugsmes menedžments,11,€ 2 500,-,-
110,M,Ražošanas inženierzinības un vadība,24,€ 2 500,-,-
111,M,Uzņēmējdarbība un vadīšana,18,€ 2 200,-,-
112,M,Uzņēmējdarbības finanses,-,€ 2 200,-,-
114,M,Būvuzņēmējdarbības un nekustamā īpašuma vadīšana,11,€ 2 150,€ 1 400,-
115,M,Darba aizsardzība,-,-,€ 1 750,-
116,M,Inovācijas un uzņēmējdarbība,-,€ 2 850,-,€ 2 850
117,M,Loģistika un piegādes ķēdes drošība,-,€ 2 300,-,-
118,M,Līderība un vadība,18,€ 2 200,€ 1 400,-
119,M,Muitas un nodokļu administrēšana,30,€ 2 650,€ 1 400,-
120,M,Pilsētu un reģionu inženierekonomika,23,€ 2 200,-,-
121,M,Starptautisko ekonomisko sakaru vadīšana,15,€ 2 200,-,-
122,M,Visaptverošā kvalitātes vadība,9,€ 2 200,-,€ 1 760
124,PhD,Vadībzinātne un ekonomika,8,€ 5 400,€ 2 200,-
126,C,Ugunsdrošība un civilā aizsardzība,22,€ 2 600,-,-
128,B,"Inženiertehnika, mehānika un mašīnbūve",40,€ 2 800,-,-
129,B,"Inženiertehnika, mehānika un mašīnbūve",-,€ 2 800,-,-
131,B,Automobiļu transports,60,€ 2 800,€ 1 650,-
132,B,Autotransporta inženierija,-,€ 2 800,€ 1 650,-
133,B,Aviācijas transports,75,€ 2 800,-,-
134,B,Dzelzceļa inženierija,35,€ 2 800,-,-
135,B,Industriālais dizains,20,€ 2 800,-,-
136,B,Industriālais dizains,-,€ 2 800,-,-
137,B,Mašīnu un aparātu būvniecība,32,€ 2 800,€ 1 650,-
138,B,Medicīnas inženierija un fizika,45,€ 3 350,-,-
139,B,Medicīnas inženierija un fizika,-,€ 3 350,-,-
140,B,Mehatronika,65,€ 2 800,-,-
141,B,Mehatronika,1,€ 2 800,-,-
142,B,Siltumenerģētika un siltumtehnika,21,€ 2 800,-,-
143,B,Siltumenerģētika un siltumtehnika,3,€ 2 800,-,-
144,B,Transporta sistēmu inženierija,30,€ 2 800,-,-
146,M,"Inženiertehnika, mehānika un mašīnbūve",12,€ 4 200,-,-
147,M,Ražošanas tehnoloģija,15,€ 4 200,-,-
149,M,Automobiļu transports,12,€ 4 200,-,-
150,M,Autotransporta inženierija,-,€ 4 200,-,-
151,M,Aviācijas transports,32,€ 4 200,-,-
152,M,Dzelzceļa inženierija,10,€ 4 200,-,-
153,M,Medicīnas inženierija un fizika,18,€ 4 200,-,-
154,M,Siltumenerģētika un siltumtehnika,8,€ 4 200,-,-
155,M,Transporta sistēmu inženierija,13,€ 4 200,-,-
157,PhD,Mašīnbūve un mehānika,7,€ 8 550,-,-
158,PhD,Transports,6,€ 8 550,€ 3 500,-
160,B,Materiālu inženierija,20,€ 2 800,-,-
161,B,Ķīmija un ķīmijas tehnoloģija,85,€ 2 800,-,-
163,B,Apģērbu un tekstila tehnoloģija,28,€ 2 950,-,-
164,B,Materiālu tehnoloģija un dizains,50,€ 2 950,-,-
165,B,Materiālu tehnoloģija un dizains,-,-,-,-
167,M,Materiālzinātne un nanotehnoloģijas,14,€ 4 200,-,-
168,M,Ķīmija un ķīmijas tehnoloģija,15,€ 4 650,-,-
170,M,Dizaina inženierija,16,€ 4 450,-,-
172,PhD,Apģērbu un tekstila tehnoloģija,2,€ 8 850,-,-
173,PhD,"Ķīmija, materiālzinātne un tehnoloģijas",13,€ 9 300,-,-
175,B,Datorzinātne un organizāciju tehnoloģijas,-,€ 4 595,-,-
176,B,Vadīšana starptautiskos uzņēmumos,-,€ 4 543,-,-
178,M,Uzņēmumu un organizāciju vadīšana,-,€ 20 740,-,€ 4 420
