,M,Study programme,Funded places,Tuition PLK,Tuition NLK,Tuition NLN
1,B,Arhitektūra,40,€ 4 050,-,-
3,M,Arhitektūra,40,€ 6 050,-,-
5,PhD,Arhitektūra,2,€ 14 700,-,-
7,C,Būvniecība,38,€ 3 000,€ 1 800,-
9,B,Biotehnoloģija un bioinženierija,4,€ 2 400,-,-
11,B,Būvniecība,140,€ 3 000,€ 1 800,-
12,B,"Siltuma, gāzes un ūdens tehnoloģija",50,€ 3 000,€ 1 800,-
13,B,Transportbūves,50,€ 3 000,€ 1 800,-
14,B,Ģeomātika,35,€ 3 000,€ 1 800,-
16,M,Inovatīva ceļu un tiltu inženierija,5,€ 4 000,-,-
17,M,Inovatīvie risinājumi ģeomātikā,5,€ 4 000,-,-
19,M,Būvniecība,60,€ 4 150,€ 2 300,-
20,M,"Siltuma, gāzes un ūdens tehnoloģija",30,€ 4 150,-,-
21,M,Transportbūves,32,€ 4 150,-,-
22,M,Ģeomātika,20,€ 4 150,-,-
24,PhD,Būvniecība,7,€ 8 550,-,-
25,PhD,"Siltuma, gāzes un ūdens tehnoloģija",4,€ 8 550,-,-
27,B,Automātika un datortehnika,90,€ 2 750,-,-
28,B,Automātika un datortehnika,-,€ 2 750,-,-
29,B,Datorsistēmas,190,€ 2 550,-,-
30,B,Informācijas tehnoloģija,183,€ 2 550,-,-
31,B,Informācijas tehnoloģija,-,-,-,-
32,B,Intelektuālas robotizētas sistēmas,28,€ 2 550,-,-
34,B,Datorsistēmas,15,€ 2 550,-,-
35,B,Finanšu inženierija,26,€ 2 550,-,-
36,B,Finanšu pārvaldības informācijas sistēmas (kopīga programma ar Banku augstskolu),-,€ 2 800,-,-
38,M,Biznesa informātika,15,€ 3 550,-,€ 2 840
39,M,Datorsistēmas,25,€ 3 700,-,-
40,M,Finanšu inženiermatemātika,16,€ 3 700,-,-
41,M,Informācijas tehnoloģija,33,€ 3 700,-,-
42,M,Intelektuālas robotizētas sistēmas,12,€ 3 700,-,-
43,M,Kiberdrošības inženierija,10,€ 3 550,-,-
44,M,Loģistikas sistēmu un piegādes ķēdes vadība,-,€ 3 500,-,-
46,M,Datorsistēmas,22,€ 3 700,-,-
47,M,Informācijas tehnoloģija,34,€ 3 700,-,-
49,PhD,Datorzinātne un informācijas tehnoloģija,10,€ 7 700,-,-
