,M,Study programme,Funded places,Tuition PLK,Tuition NLK,Tuition NLN
146,M,Lietišķā ķīmija,5,€ 2 150,-,-
147,M,Materiālu nanotehnoloģijas,5,€ 1 925,-,-
148,M,Materiālzinātnes,7,€ 1 925,-,-
149,M,Ķīmijas tehnoloģija,16,€ 1 925,-,-
151,M,Apģērbu un tekstila tehnoloģija,13,€ 2 050,-,-
152,M,Materiālu dizains un tehnoloģija,24,€ 2 050,-,-
154,B,Elektronika un mobilie sakari,-,-,€ 800,-
155,B,Enerģētika un elektrotehnika,-,-,€ 800,-
156,B,Enerģētika un elektrotehnika,-,-,-,€ 800
158,B,Automobiļu transports,-,-,€ 800,-
159,B,Būvniecība,-,-,€ 900,-
160,B,Dzelzceļa elektrosistēmas,-,-,€ 800,-
161,B,Dzelzceļa elektrosistēmas,-,-,-,€ 800
162,B,Dzelzceļa transports,-,-,€ 800,-
163,B,Dzelzceļa transports,-,-,-,€ 800
164,B,Elektrotehnoloģiju datorvadība,-,-,€ 800,-
165,B,Elektrotehnoloģiju datorvadība,-,-,-,€ 800
166,B,Mašīnu un aparātu būvniecība,-,-,€ 800,-
167,B,"Siltuma, gāzes un ūdens tehnoloģija",-,-,€ 900,-
168,B,"Siltuma, gāzes un ūdens tehnoloģija",-,-,-,€ 1 150
169,B,Siltumenerģētika un siltumtehnika,-,-,€ 800,-
170,B,Transporta elektronika un telemātika,-,-,-,€ 800
171,B,Transportbūves,-,-,€ 900,-
172,B,Ģeomātika,-,-,€ 900,-
174,M,Būvniecība,-,-,€ 1 150,-
175,M,Elektrotehnoloģiju datorvadība,-,-,€ 1 000,-
176,M,Transportbūves,-,-,€ 1 150,-
177,M,Viedās elektroniskās sistēmas,-,-,€ 1 000,-
178,M,Ģeomātika,-,-,€ 1 150,-
180,C,Datorsistēmas,12,€ 1 200,-,-
181,C,Uzņēmējdarbība un vadīšana,6,€ 800,-,-
183,B,Enerģētika un elektrotehnika,5,€ 1 350,€ 800,-
184,B,Uzņēmējdarbība un vadīšana,-,€ 875,-,-
185,B,Vides zinātne,-,€ 1 500,-,-
187,B,Elektrotehnoloģiju datorvadība,8,€ 1 350,€ 800,-
188,B,Materiālu tehnoloģija un dizains,-,€ 1 400,-,-
190,C,Būvdarbu vadīšana,13,€ 1 275,€ 1 150,-
191,C,Uzņēmējdarbība un vadīšana,-,€ 800,-,-
193,B,Automātika un datortehnika,5,€ 1 350,-,-
194,B,Datorsistēmas,17,€ 1 200,-,-
195,B,Elektronika un mobilie sakari,-,€ 1 350,-,-
196,B,Enerģētika un elektrotehnika,12,€ 1 350,€ 800,-
197,B,Informācijas tehnoloģija,12,€ 1 200,-,-
198,B,"Inženiertehnika, mehānika un mašīnbūve",5,€ 1 350,-,-
199,B,Telekomunikācijas,5,€ 1 350,-,-
201,B,Automobiļu transports,8,€ 1 350,€ 800,-
202,B,Būvniecība,-,-,€ 900,-
203,B,Dzelzceļa elektrosistēmas,-,€ 1 350,€ 800,-
204,B,Dzelzceļa transports,10,€ 1 350,€ 800,-
205,B,Elektrotehnoloģiju datorvadība,5,€ 1 350,-,-
206,B,Mašīnu un aparātu būvniecība,-,€ 1 350,-,-
207,B,Mehatronika,7,€ 1 350,-,-
208,B,"Siltuma, gāzes un ūdens tehnoloģija",-,-,€ 900,-
209,B,Siltumenerģētika un siltumtehnika,5,€ 1 350,€ 800,-
211,C,Būvdarbu vadīšana,12,€ 1 275,-,€ 1 150
212,C,Būvniecība,-,-,€ 900,-
213,C,Datorsistēmas,12,€ 1 200,-,-
214,C,Uzņēmējdarbība un vadīšana,8,€ 800,-,€ 650
216,B,Enerģētika un elektrotehnika,5,€ 1 350,€ 800,-
217,B,"Inženiertehnika, mehānika un mašīnbūve",5,€ 1 350,-,-
218,B,Telekomunikācijas,3,€ 1 350,-,-
220,B,Apģērbu un tekstila tehnoloģija,-,€ 1 400,-,-
221,B,Būvniecība,-,-,€ 900,-
222,B,Elektrotehnoloģiju datorvadība,8,€ 1 350,€ 800,-
223,B,Mašīnu un aparātu būvniecība,6,€ 1 350,€ 800,-
224,B,Mehatronika,10,€ 1 350,-,-
225,B,Reģionālās attīstības un pilsētekonomikas inženierija,3,€ 1 075,-,-
226,B,"Siltuma, gāzes un ūdens tehnoloģija",-,-,€ 900,-
227,B,Siltumenerģētika un siltumtehnika,3,€ 1 350,€ 800,-
228,B,Uzņēmējdarbība un vadīšana,10,€ 875,€ 600,-
230,C,Būvniecība,-,€ 1 500,€ 900,-
231,C,Cilvēku resursu vadīšana,-,€ 800,€ 550,-
233,B,Datorsistēmas,7,€ 1 200,-,-
234,B,Datorsistēmas,-,-,-,-
235,B,Elektronika un mobilie sakari,-,€ 1 350,-,-
236,B,Enerģētika un elektrotehnika,10,€ 1 350,€ 800,-
237,B,"Inženiertehnika, mehānika un mašīnbūve",5,€ 1 350,-,-
238,B,Telekomunikācijas,5,€ 1 350,-,-
239,B,Vides zinātne,-,€ 1 500,-,-
241,B,Adaptronika,5,€ 1 350,-,-
242,B,Automobiļu transports,-,-,€ 800,-
243,B,Finanšu inženierija,-,€ 1 200,-,-
245,M,Ražošanas inženierzinības un vadība,15,€ 1 200,-,-
247,B,Vadīšana starptautiskos uzņēmumos,-,€ 2 095,-,-
249,M,Uzņēmumu un organizāciju vadīšana,-,€ 9 550,-,€ 1 805
