,M,Study programme,Funded places,Tuition PLK,Tuition NLK,Tuition NLN
1,B,Arhitektūra,40,€ 1 975,-,-
3,M,Arhitektūra,42,€ 2 975,-,-
5,C,Būvniecība,-,-,€ 900,-
7,B,Būvniecība,130,€ 1 500,-,-
8,B,"Siltuma, gāzes un ūdens tehnoloģija",45,€ 1 500,-,-
9,B,Transportbūves,65,€ 1 500,-,-
10,B,Ģeomātika,15,€ 1 500,-,-
12,M,Inovatīva ceļu un tiltu inženierija,5,€ 2 000,-,-
13,M,Inovatīvie risinājumi ģeomātikā,5,€ 2 000,-,-
15,M,Būvniecība,70,€ 2 050,-,-
16,M,"Siltuma, gāzes un ūdens tehnoloģija",43,€ 2 050,-,-
17,M,Transportbūves,29,€ 2 050,-,-
18,M,Ģeomātika,20,€ 2 050,-,-
20,C,Datorsistēmas,10,€ 1 200,-,-
22,B,Automātika un datortehnika,85,€ 1 350,-,-
23,B,Datorsistēmas,120,€ 1 200,-,-
24,B,Informācijas tehnoloģija,130,€ 1 200,-,-
25,B,Intelektuālas robotizētas sistēmas,18,€ 1 200,-,-
27,B,Datorsistēmas,20,€ 1 200,-,-
28,B,Finanšu inženierija,24,€ 1 200,-,-
29,B,Finanšu pārvaldības informācijas sistēmas (kopīga programma ar Banku augstskolu),-,€ 1 400,-,-
31,M,Automātika un datortehnika,12,€ 1 950,-,-
32,M,Biznesa informātika,-,€ 1 250,-,€ 1 000
33,M,Datorsistēmas,32,€ 1 750,-,-
34,M,Finanšu inženiermatemātika,13,€ 1 750,-,-
35,M,Informācijas tehnoloģija,28,€ 1 750,-,-
36,M,Intelektuālas robotizētas sistēmas,8,€ 1 750,-,-
37,M,Loģistikas sistēmu un piegādes ķēdes vadība,-,€ 1 750,-,-
39,M,Automātika un datortehnika,9,€ 1 950,-,-
40,M,Datorsistēmas,25,€ 1 750,-,€ 1 500
41,M,Informācijas tehnoloģija,32,€ 1 750,-,-
43,B,Elektronika un mobilie sakari,55,€ 1 350,-,-
44,B,Telekomunikācijas,134,€ 1 350,-,-
46,B,Transporta elektronika un telemātika,25,€ 1 350,-,-
48,M,Elektronika,-,€ 1 950,-,-
49,M,Telekomunikācijas,60,€ 1 950,-,-
51,M,Transporta elektronika un telemātika,10,€ 1 950,-,-
52,M,Viedās elektroniskās sistēmas,25,€ 1 950,-,-
54,C,Enerģētika un elektrotehnika,5,€ 1 350,-,-
56,B,Enerģētika un elektrotehnika,75,€ 1 350,-,-
57,B,Vides zinātne,35,€ 1 500,-,-
59,B,Adaptronika,20,€ 1 350,-,-
60,B,Elektrotehnoloģiju datorvadība,45,€ 1 350,-,-
62,M,Elektrotehnoloģiju datorvadība,-,€ 1 950,-,-
63,M,Enerģētika un elektrotehnika,25,€ 1 950,-,-
64,M,Vides zinātne,30,€ 2 200,-,-
66,M,Elektrotehnoloģiju datorvadība,40,€ 1 950,-,-
68,C,Enerģētika un elektrotehnika,31,€ 1 950,-,-
70,B,Tehniskā tulkošana,5,€ 800,-,-
72,M,Digitālās humanitārās zinātnes,18,€ 1 400,-,-
73,M,E-studiju tehnoloģijas,10,€ 1 750,-,-
75,M,Tehniskā tulkošana,3,€ 1 200,-,-
77,C,Cilvēku resursu vadīšana,-,€ 800,€ 550,€ 650
78,C,Nekustamā īpašuma pārvaldība,2,€ 825,€ 550,-
79,C,Uzņēmējdarbība un vadīšana,-,€ 800,€ 550,€ 650
81,B,Ekonomika,-,-,€ 600,-
82,B,Ekonomika,20,€ 875,-,-
83,B,Radošās industrijas (kopīga programma ar Latvijas Kultūras akadēmiju),10,€ 1 050,-,-
84,B,Uzņēmējdarbība un vadīšana,15,€ 875,€ 600,€ 675
86,B,Cilvēku resursu vadīšana,3,€ 875,€ 600,€ 675
87,B,Drošības inženierija,15,€ 1 175,-,-
88,B,Muitas un nodokļu administrēšana,29,€ 1 175,€ 600,-
89,B,Nekustamā īpašuma pārvaldība,18,€ 875,€ 600,-
90,B,Reģionālās attīstības un pilsētekonomikas inženierija,10,€ 1 075,-,-
91,B,Starptautisko ekonomisko sakaru organizēšana un vadīšana,5,€ 875,-,-
92,B,Uzņēmējdarbība un vadīšana,20,€ 875,€ 600,-
93,B,Uzņēmējdarbības loģistika,7,€ 875,€ 600,-
94,B,Visaptverošā kvalitātes vadība,27,-,€ 600,-
96,M,Ekonomika,17,€ 1 025,-,-
97,M,Uzņēmējdarbība un vadīšana,18,€ 1 025,-,-
98,M,Uzņēmējdarbības finanses,-,€ 1 025,-,-
100,M,Būvuzņēmējdarbības un nekustamā īpašuma vadīšana,7,€ 1 025,€ 700,-
101,M,Darba aizsardzība,-,-,€ 875,-
102,M,Inovācijas un uzņēmējdarbība,-,€ 1 350,-,€ 1 350
103,M,Muitas un nodokļu administrēšana,33,€ 1 200,€ 700,-
104,M,Pilsētu un reģionu inženierekonomika,-,-,€ 700,-
105,M,Pilsētu un reģionu inženierekonomika,22,€ 1 025,-,-
106,M,Starptautisko ekonomisko sakaru organizēšana un vadīšana,7,€ 1 025,-,-
107,M,Uzņēmējdarbība un vadīšana,15,€ 1 025,€ 700,-
108,M,Visaptverošā kvalitātes vadība,7,€ 1 025,-,€ 820
110,C,Ugunsdrošība un civilā aizsardzība,20,€ 1 175,-,-
112,B,"Inženiertehnika, mehānika un mašīnbūve",32,€ 1 350,-,-
114,B,Automobiļu transports,50,€ 1 350,-,-
115,B,Aviācijas transports,70,€ 1 350,-,-
116,B,Dzelzceļa elektrosistēmas,10,€ 1 350,-,-
117,B,Dzelzceļa transports,25,€ 1 350,-,-
118,B,Industriālais dizains,20,€ 1 350,-,-
119,B,Mašīnu un aparātu būvniecība,30,€ 1 350,-,-
120,B,Medicīnas inženierija un fizika,40,€ 1 350,-,-
121,B,Mehatronika,35,€ 1 350,-,-
122,B,Siltumenerģētika un siltumtehnika,16,€ 1 350,-,-
123,B,Transporta sistēmu inženierija,36,€ 1 350,-,-
125,M,"Inženiertehnika, mehānika un mašīnbūve",15,€ 1 950,-,-
126,M,Ražošanas tehnoloģija,-,-,€ 1 200,-
127,M,Ražošanas tehnoloģija,12,€ 1 950,-,-
129,M,Automobiļu transports,16,€ 1 950,-,-
130,M,Aviācijas transports,25,€ 1 950,-,-
131,M,Dzelzceļa elektrosistēmas,9,€ 1 950,€ 1 200,-
132,M,Dzelzceļa transports,12,€ 1 950,€ 1 200,-
133,M,Medicīnas inženierija un fizika,15,€ 1 950,-,-
134,M,Nanoinženierija,9,€ 1 950,-,-
135,M,Siltumenerģētika un siltumtehnika,-,-,€ 1 200,-
136,M,Siltumenerģētika un siltumtehnika,10,€ 1 950,-,-
137,M,Transporta sistēmu inženierija,25,€ 1 950,-,-
139,B,Materiālzinātnes,15,€ 1 300,-,-
140,B,Ķīmija,13,€ 1 450,-,-
141,B,Ķīmijas tehnoloģija,65,€ 1 300,-,-
143,B,Apģērbu un tekstila tehnoloģija,35,€ 1 400,-,-
144,B,Materiālu tehnoloģija un dizains,51,€ 1 400,-,-
