,M,Study programme,Funded places,Tuition PLK,Tuition NLK,Tuition NLN
1,B,Arhitektūra,40,€ 2 000,-,-
3,M,Arhitektūra,40,€ 3 000,-,-
5,C,Būvniecība,45,€ 1 500,€ 900,€ 1 150
7,B,Biotehnoloģija un bioinženierija,2,€ 1 200,-,-
9,B,Būvniecība,140,€ 1 500,€ 900,-
10,B,"Siltuma, gāzes un ūdens tehnoloģija",40,€ 1 500,€ 900,€ 1 150
11,B,Transportbūves,70,€ 1 500,€ 900,-
12,B,Ģeomātika,25,€ 1 500,€ 900,-
14,M,Inovatīva ceļu un tiltu inženierija,5,€ 2 000,-,-
15,M,Inovatīvie risinājumi ģeomātikā,5,€ 2 000,-,-
17,M,Būvniecība,65,€ 2 075,€ 1 150,-
18,M,"Siltuma, gāzes un ūdens tehnoloģija",43,€ 2 075,-,-
19,M,Transportbūves,35,€ 2 075,€ 1 150,-
20,M,Ģeomātika,15,€ 2 075,€ 1 150,-
22,C,Datorsistēmas,-,€ 1 275,-,-
24,B,Automātika un datortehnika,90,€ 1 375,-,-
25,B,Datorsistēmas,167,€ 1 275,-,-
26,B,Informācijas tehnoloģija,160,€ 1 275,-,-
27,B,Intelektuālas robotizētas sistēmas,17,€ 1 275,-,-
29,B,Finanšu inženierija,22,€ 1 275,-,-
30,B,Finanšu pārvaldības informācijas sistēmas (kopīga programma ar Banku augstskolu),-,€ 1 400,-,-
32,M,Automātika un datortehnika,12,€ 1 975,-,-
33,M,Biznesa informātika,-,€ 1 250,-,€ 1 000
34,M,Datorsistēmas,35,€ 1 850,-,-
35,M,Finanšu inženiermatemātika,15,€ 1 850,-,-
36,M,Informācijas tehnoloģija,32,€ 1 850,-,-
37,M,Intelektuālas robotizētas sistēmas,9,€ 1 850,-,-
38,M,Kiberdrošības inženierija,-,€ 1 750,-,-
39,M,Loģistikas sistēmu un piegādes ķēdes vadība,-,€ 1 750,-,-
41,M,Automātika un datortehnika,6,€ 1 975,-,-
42,M,Datorsistēmas,20,€ 1 850,-,-
43,M,Informācijas tehnoloģija,32,€ 1 850,-,-
45,B,Telekomunikācijas,143,€ 1 375,-,-
47,B,Transporta elektronika un telemātika,35,€ 1 375,-,-
48,B,Viedās elektroniskās sistēmas,-,€ 1 375,-,-
50,M,Elektronika,-,€ 1 975,-,-
51,M,Telekomunikācijas,60,€ 1 975,-,-
53,M,Transporta elektronika un telemātika,10,€ 1 975,-,-
54,M,Viedās elektroniskās sistēmas,25,€ 1 975,€ 1 000,-
56,C,Enerģētika un elektrotehnika,-,€ 1 350,-,-
58,B,Enerģētika un elektrotehnika,102,€ 1 375,€ 825,€ 800
59,B,Vides inženierija,35,€ 1 525,-,-
61,B,Adaptronika,39,€ 1 375,€ 825,-
62,B,Elektrotehnoloģiju datorvadība,64,€ 1 375,€ 825,€ 800
64,M,Elektrotehnoloģiju datorvadība,-,€ 1 975,-,-
65,M,Enerģētika un elektrotehnika,25,€ 1 950,-,-
66,M,Vides inženierija,40,€ 2 225,-,-
68,M,Adaptronika,-,€ 3 950,-,-
69,M,Elektrotehnoloģiju datorvadība,40,€ 1 975,€ 1 000,-
70,M,Viedā elektroenerģētika,-,€ 1 975,-,-
72,C,Enerģētika un elektrotehnika,35,€ 1 950,-,-
74,B,Tehniskā tulkošana,3,€ 840,-,-
76,M,Digitālās humanitārās zinātnes,26,€ 1 500,-,-
77,M,E-studiju tehnoloģijas,10,€ 1 850,-,-
79,M,Tehniskā tulkošana,-,€ 1 260,-,-
81,C,Nekustamā īpašuma pārvaldība,-,€ 835,€ 550,-
82,C,Uzņēmējdarbība un vadīšana,11,€ 825,€ 550,€ 650
84,B,Ekonomika,13,€ 875,€ 600,-
85,B,Radošās industrijas (kopīga programma ar Latvijas Kultūras akadēmiju),10,€ 1 100,-,-
86,B,Uzņēmējdarbība un vadīšana,12,€ 875,€ 600,€ 675
88,B,Drošības inženierija,5,€ 1 275,-,-
89,B,Muitas un nodokļu administrēšana,36,€ 1 275,€ 600,-
90,B,Nekustamā īpašuma pārvaldība,-,€ 875,€ 600,-
91,B,Reģionālās attīstības un pilsētekonomikas inženierija,16,€ 1 125,-,-
92,B,Starptautisko ekonomisko sakaru organizēšana un vadīšana,9,€ 875,-,-
93,B,Uzņēmējdarbība un vadīšana,20,€ 875,€ 600,-
94,B,Uzņēmējdarbības loģistika,13,€ 875,€ 600,-
95,B,Visaptverošā kvalitātes vadība,25,€ 1 125,€ 600,-
97,M,Ekonomika,15,€ 1 075,-,-
98,M,Radošās industrijas un izaugsmes menedžments,-,€ 1 150,-,-
99,M,Ražošanas inženierzinības un vadība,22,€ 1 225,-,-
100,M,Uzņēmējdarbība un vadīšana,15,€ 1 075,-,-
101,M,Uzņēmējdarbības finanses,-,€ 1 075,-,-
103,M,Būvuzņēmējdarbības un nekustamā īpašuma vadīšana,-,€ 1 050,€ 700,-
104,M,Darba aizsardzība,-,-,€ 875,-
105,M,Inovācijas un uzņēmējdarbība,-,€ 1 425,-,€ 1 425
106,M,Līderība un vadība,18,€ 1 075,€ 700,-
107,M,Muitas un nodokļu administrēšana,31,€ 1 300,€ 700,-
108,M,Pilsētu un reģionu inženierekonomika,20,€ 1 075,€ 700,-
109,M,Starptautisko ekonomisko sakaru organizēšana un vadīšana,14,€ 1 075,-,-
110,M,Visaptverošā kvalitātes vadība,8,€ 1 075,-,€ 820
112,C,Ugunsdrošība un civilā aizsardzība,20,€ 1 275,-,-
114,B,"Inženiertehnika, mehānika un mašīnbūve",43,€ 1 400,-,-
116,B,Automobiļu transports,58,€ 1 400,€ 825,-
117,B,Aviācijas transports,68,€ 1 400,-,-
118,B,Dzelzceļa inženierija,40,€ 1 400,€ 825,-
119,B,Industriālais dizains,20,€ 1 400,-,-
120,B,Mašīnu un aparātu būvniecība,35,€ 1 400,€ 825,-
121,B,Medicīnas inženierija un fizika,40,€ 1 675,-,-
122,B,Mehatronika,54,€ 1 400,-,-
123,B,Siltumenerģētika un siltumtehnika,24,€ 1 400,€ 825,-
124,B,Transporta sistēmu inženierija,36,€ 1 400,-,-
126,M,"Inženiertehnika, mehānika un mašīnbūve",11,€ 2 100,-,-
127,M,Ražošanas tehnoloģija,12,€ 2 100,-,-
129,M,Automobiļu transports,15,€ 2 100,-,-
130,M,Aviācijas transports,20,€ 2 100,-,-
131,M,Dzelzceļa inženierija,-,€ 4 200,-,-
132,M,Medicīnas inženierija un fizika,15,€ 2 100,-,-
133,M,Nanoinženierija,6,€ 1 950,-,-
134,M,Siltumenerģētika un siltumtehnika,10,€ 2 100,-,-
135,M,Transporta sistēmu inženierija,22,€ 2 100,-,-
137,B,Materiālzinātnes,26,€ 1 400,-,-
138,B,Ķīmija,13,€ 1 550,-,-
139,B,Ķīmijas tehnoloģija,65,€ 1 400,-,-
141,B,Apģērbu un tekstila tehnoloģija,29,€ 1 475,-,-
142,B,Materiālu tehnoloģija un dizains,56,€ 1 475,-,-
144,M,Materiālzinātne un nanotehnoloģijas,-,€ 2 100,-,-
145,M,Ķīmija un ķīmijas tehnoloģija,-,€ 2 325,-,-
147,M,Dizaina inženierija,45,€ 2 225,-,-
149,B,Datorzinātne un organizāciju tehnoloģijas,-,€ 1 995,-,-
150,B,Vadīšana starptautiskos uzņēmumos,-,€ 2 095,-,-
152,M,Uzņēmumu un organizāciju vadīšana,-,€ 9 900,-,€ 1 910
